sign_id,sign_name,unicode_value,character,character_image,frequency_count,contexts,variants,transliteration,classification,sources
U+18B1B,Khitan Large Script Character 18B1B,U+18B1B,𘬛,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190425'}]"
U+18B1C,Khitan Large Script Character 18B1C,U+18B1C,𘬜,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190431'}]"
U+18B1D,Khitan Large Script Character 18B1D,U+18B1D,𘬝,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190437'}]"
U+18B1E,Khitan Large Script Character 18B1E,U+18B1E,𘬞,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190443'}]"
U+18B1F,Khitan Large Script Character 18B1F,U+18B1F,𘬟,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190449'}]"
U+18B20,Khitan Large Script Character 18B20,U+18B20,𘬠,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190454'}]"
U+18B21,Khitan Large Script Character 18B21,U+18B21,𘬡,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190461'}]"
U+18B22,Khitan Large Script Character 18B22,U+18B22,𘬢,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190469'}]"
U+18B23,Khitan Large Script Character 18B23,U+18B23,𘬣,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190475'}]"
U+18B24,Khitan Large Script Character 18B24,U+18B24,𘬤,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190483'}]"
U+18B25,Khitan Large Script Character 18B25,U+18B25,𘬥,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190489'}]"
U+18B26,Khitan Large Script Character 18B26,U+18B26,𘬦,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190495'}]"
U+18B27,Khitan Large Script Character 18B27,U+18B27,𘬧,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190500'}]"
U+18B28,Khitan Large Script Character 18B28,U+18B28,𘬨,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190506'}]"
U+18B29,Khitan Large Script Character 18B29,U+18B29,𘬩,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190513'}]"
U+18B2A,Khitan Large Script Character 18B2A,U+18B2A,𘬪,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190519'}]"
U+18B2B,Khitan Large Script Character 18B2B,U+18B2B,𘬫,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190524'}]"
U+18B2C,Khitan Large Script Character 18B2C,U+18B2C,𘬬,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190534'}]"
U+18B2D,Khitan Large Script Character 18B2D,U+18B2D,𘬭,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190539'}]"
U+18B2E,Khitan Large Script Character 18B2E,U+18B2E,𘬮,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190545'}]"
U+18B2F,Khitan Large Script Character 18B2F,U+18B2F,𘬯,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190551'}]"
